Protein,MW,Subunits,Charge,m/z,CCSHe_POS,CCSN2_POS,CCSHe_NEG,CCSN2_NEG,Type,Source
apo myoglobin,17,1,15,1.134,,4060,,,Denatured,Bush
apo myoglobin,17,1,16,1.064,,4180,,,Denatured,Bush
apo myoglobin,17,1,17,1.001,,4310,,,Denatured,Bush
apo myoglobin,17,1,18,0.945,3520,4440,,,Denatured,Bush
apo myoglobin,17,1,19,0.896,3600,4570,,,Denatured,Bush
apo myoglobin,17,1,20,0.851,3680,4700,,,Denatured,Bush
apo myoglobin,17,1,21,0.811,3750,4820,,,Denatured,Bush
apo myoglobin,17,1,22,0.774,3820,4920,,,Denatured,Bush
apo myoglobin,17,1,23,0.740,3870,5010,,,Denatured,Bush
apo myoglobin,17,1,24,0.709,3920,5090,,,Denatured,Bush
apo myoglobin,17,1,25,0.681,3960,,,,Denatured,Bush
apo myoglobin,17,1,26,0.655,4000,,,,Denatured,Bush
a3,0.2311,3,1,0.232,89,151,,,Polyalanine,Bush
a4,0.3022,4,1,0.303,100,166,,,Polyalanine,Bush
a5,0.3732,5,1,0.374,114,181,,,Polyalanine,Bush
a6,0.4442,6,1,0.445,128,195,,,Polyalanine,Bush
a7,0.5153,7,1,0.516,141,211,,,Polyalanine,Bush
a8,0.5863,8,1,0.587,157,228,,,Polyalanine,Bush
a9,0.6573,9,1,0.658,170,243,,,Polyalanine,Bush
a10,0.7284,10,1,0.729,181,256,,,Polyalanine,Bush
a11,0.7994,11,1,0.800,194,271,,,Polyalanine,Bush
a12,0.8705,12,1,0.872,206,282,,,Polyalanine,Bush
a13,0.9415,13,1,0.943,217,294,,,Polyalanine,Bush
a14,1.0125,14,1,1.014,228,306,,,Polyalanine,Bush
a11,0.7994,11,2,0.401,197,296,,,Polyalanine,Bush
a12,0.8705,12,2,0.436,208,309,,,Polyalanine,Bush
a13,0.9415,13,2,0.472,220,320,,,Polyalanine,Bush
a14,1.0125,14,2,0.507,232,333,,,Polyalanine,Bush
a15,1.0836,15,2,0.543,243,344,,,Polyalanine,Bush
a16,1.1546,16,2,0.578,255,357,,,Polyalanine,Bush
a17,1.2256,17,2,0.614,265,369,,,Polyalanine,Bush
a18,1.2967,18,2,0.649,276,380,,,Polyalanine,Bush
a19,1.3677,19,2,0.685,287,393,,,Polyalanine,Bush
a20,1.4388,20,2,0.720,297,404,,,Polyalanine,Bush
a21,1.5098,21,2,0.756,308,416,,,Polyalanine,Bush
a22,1.5808,22,2,0.791,317,428,,,Polyalanine,Bush
a23,1.6519,23,2,0.827,327,437,,,Polyalanine,Bush
a24,1.7229,24,2,0.862,337,448,,,Polyalanine,Bush
a25,1.7939,25,2,0.898,348,458,,,Polyalanine,Bush
a26,1.865,26,2,0.934,358,470,,,Polyalanine,Bush
a19,1.3677,19,3,0.457,338,482,,,Polyalanine,Bush
a20,1.4388,20,3,0.481,348,491,,,Polyalanine,Bush
a21,1.5098,21,3,0.504,361,501,,,Polyalanine,Bush
a22,1.5808,22,3,0.528,373,518,,,Polyalanine,Bush
a23,1.6519,23,3,0.552,386,532,,,Polyalanine,Bush
a24,1.7229,24,3,0.575,399,545,,,Polyalanine,Bush
a25,1.7939,25,3,0.599,412,561,,,Polyalanine,Bush
a26,1.865,26,3,0.623,425,576,,,Polyalanine,Bush
a27,1.936,27,3,0.646,438,592,,,Polyalanine,Bush
a28,2.007,28,3,0.670,452,606,,,Polyalanine,Bush
a29,2.0781,29,3,0.694,465,621,,,Polyalanine,Bush
a30,2.1491,30,3,0.717,479,634,,,Polyalanine,Bush
a31,2.2202,31,3,0.741,490,649,,,Polyalanine,Bush
a32,2.2912,32,3,0.765,502,666,,,Polyalanine,Bush
a33,2.3622,33,3,0.788,516,674,,,Polyalanine,Bush
n-ethylaniline,0.1221,1,1,0.123,63,124.5,,,Drug,Bush
acetaminophen,0.1521,1,1,0.153,67,130.4,,,Drug,Bush
alprenolol,0.2503,1,1,0.251,96.9,157.5,,,Drug,Bush
ondansetron,0.2942,1,1,0.295,105.9,172.7,,,Drug,Bush
clozapine n-oxide,0.3432,1,1,0.344,112.5,180.6,,,Drug,Bush
colchicine,0.4003,1,1,0.401,130.8,196.2,,,Drug,Bush
verapamil,0.4554,1,1,0.456,142.6,210,,,Drug,Bush
reserpine,0.6094,1,1,0.610,178.8,254.3,,,Drug,Bush
